,carat,price,x,y,z
561,0.72,2832,5.71,5.75,3.58
562,0.91,2832,6.15,6.18,3.87
563,0.71,2832,5.75,5.65,3.54
564,0.81,2832,5.87,5.81,3.68
565,0.82,2832,5.91,5.97,3.71
566,0.71,2832,5.72,5.66,3.54
567,0.9,2832,6.05,6.01,3.88
568,0.8,2833,5.86,5.95,3.66
569,0.56,2833,5.28,5.34,3.24
570,0.7,2833,5.77,5.8,3.45
571,0.7,2833,5.74,5.76,3.51
572,0.61,2833,5.45,5.48,3.37
573,0.85,2833,6.02,6.07,3.78
574,0.7,2833,5.73,5.75,3.49
575,0.8,2834,5.94,5.87,3.67
576,0.8,2834,5.91,5.87,3.7
577,0.51,2834,5.16,5.19,3.1
578,0.53,2834,5.2,5.23,3.2
579,0.78,2834,5.92,5.95,3.67
580,0.9,2834,6.17,6.14,3.9
581,0.9,2834,6.07,6.0,3.94
582,0.77,2834,6.01,5.95,3.63
583,0.73,2835,5.89,5.81,3.58
584,0.63,2835,5.47,5.51,3.4
585,0.7,2835,5.7,5.75,3.52
586,0.72,2835,5.71,5.73,3.59
587,0.72,2835,5.78,5.8,3.53
588,0.75,2835,6.04,5.94,3.57
589,0.82,2836,6.04,6.06,3.67
590,0.71,2836,5.6,5.65,3.53
591,0.7,2837,5.69,5.66,3.55
592,0.7,2837,5.74,5.69,3.53
593,0.71,2838,5.86,5.82,3.49
594,0.76,2838,5.92,5.94,3.61
595,0.82,2838,5.83,5.79,3.77
596,0.72,2838,5.91,5.89,3.47
597,0.7,2838,5.72,5.64,3.54
598,0.7,2838,5.69,5.63,3.49
599,0.7,2838,5.73,5.64,3.56
600,0.7,2838,5.83,5.79,3.45
601,0.7,2838,5.53,5.49,3.5
602,0.7,2838,5.71,5.66,3.46
603,0.7,2838,5.85,5.75,3.45
604,0.7,2838,5.64,5.57,3.53
605,0.74,2839,5.85,5.89,3.52
606,0.71,2839,5.74,5.71,3.52
607,0.7,2839,5.75,5.72,3.53
608,0.71,2839,5.82,5.68,3.57
609,0.71,2839,5.84,5.81,3.44
610,0.71,2839,5.82,5.8,3.43
611,0.71,2839,5.75,5.72,3.47
612,0.7,2839,5.73,5.71,3.57
613,0.73,2839,5.8,5.82,3.59
614,0.7,2839,5.69,5.72,3.54
615,0.7,2839,5.71,5.74,3.51
616,0.71,2839,5.82,5.78,3.5
617,0.71,2839,5.87,5.82,3.46
618,0.79,2839,6.09,6.01,3.59
619,0.71,2839,5.7,5.62,3.55
620,0.77,2840,5.9,5.87,3.59
621,0.75,2840,5.85,5.92,3.52
622,0.7,2840,5.75,5.8,3.52
623,0.71,2840,5.88,5.82,3.47
624,0.92,2840,6.27,6.2,3.86
625,0.83,2840,6.08,6.04,3.72
626,0.7,2840,5.87,5.78,3.45
627,0.73,2841,5.9,5.87,3.55
628,0.71,2841,5.69,5.61,3.58
629,0.73,2841,5.66,5.71,3.63
630,0.82,2841,6.0,6.12,3.74
631,0.82,2841,5.96,6.02,3.73
632,0.82,2841,6.12,6.14,3.66
633,0.52,2841,5.19,5.21,3.18
634,1.0,2841,6.6,6.55,3.87
635,0.95,2841,6.16,6.03,4.06
636,0.73,2841,5.76,5.8,3.55
637,0.73,2841,5.87,5.77,3.5
638,0.73,2841,5.82,5.77,3.56
639,0.8,2842,5.92,5.96,3.72
640,0.7,2842,5.8,5.72,3.38
641,0.7,2843,5.71,5.75,3.45
642,0.7,2843,5.65,5.67,3.55
643,0.71,2843,5.76,5.82,3.44
644,0.81,2843,5.91,5.92,3.74
645,0.71,2843,5.73,5.79,3.54
646,0.73,2843,5.81,5.84,3.57
647,0.73,2843,5.73,5.79,3.56
648,0.72,2843,5.71,5.74,3.55
649,0.81,2843,5.91,5.95,3.68
650,0.71,2843,5.81,5.78,3.52
651,0.73,2844,5.92,5.96,3.43
652,0.7,2844,5.65,5.68,3.51
653,1.01,2844,6.45,6.46,3.97
654,1.01,2844,6.35,6.39,4.02
655,0.79,2844,5.91,5.93,3.7
656,0.7,2845,5.65,5.68,3.5
657,0.7,2845,5.83,5.85,3.44
658,0.8,2845,5.92,5.82,3.72
659,1.27,2845,7.12,7.05,4.2
660,0.79,2846,5.96,5.91,3.65
661,0.72,2846,5.79,5.84,3.5
662,0.73,2846,5.79,5.84,3.58
663,1.01,2846,6.3,6.26,4.11
664,1.01,2846,6.25,6.18,3.99
665,0.73,2846,5.92,5.95,3.51
666,0.7,2846,5.71,5.76,3.53
667,0.7,2846,5.76,5.84,3.43
668,0.77,2846,5.84,5.79,3.66
669,0.77,2846,5.91,5.81,3.59
670,0.77,2846,5.94,5.89,3.63
